Unnamed: 0,name,year,decade
447,Michael Jackson,1984,1980s
448,Alexander Haig,1984,1980s
449,Bill Gates,1984,1980s
450,Jesse Jackson,1984,1980s
451,Shirley MacLaine,1984,1980s
452,Geraldine Ferraro,1984,1980s
453,Walter Mondale,1984,1980s
454,Andrei A. Gromyko,1984,1980s
455,Erma Bombeck,1984,1980s
456,Shimon Peres,1984,1980s
457,Geraldine Ferraro,1984,1980s
458,Carl Lewis,1984,1980s
459,Carl Lewis,1984,1980s
460,Ronald Reagan,1984,1980s
461,Geraldine Ferraro,1984,1980s
462,Brian Mulroney,1984,1980s
463,Andrei A. Gromyko,1984,1980s
464,Ronald Reagan,1984,1980s
465,Ronald Reagan,1984,1980s
466,Indira Gandhi,1984,1980s
467,Ronald Reagan,1984,1980s
468,William DeVries,1984,1980s
469,David Lean,1984,1980s
470,Peter Ueberroth,1985,1980s
471,Nancy Reagan,1985,1980s
472,Donald Regan,1985,1980s
473,John Paul II,1985,1980s
474,T. Boone Pickens,1985,1980s
475,Larry Bird,1985,1980s
476,Mikhail Gorbachev,1985,1980s
477,Lee Iacocca,1985,1980s
478,Bernhard Goetz,1985,1980s
479,Ronald Reagan,1985,1980s
480,Madonna,1985,1980s
481,Steven Spielberg,1985,1980s
482,Pete Rose,1985,1980s
483,Jerry Falwell,1985,1980s
484,Mikhail Gorbachev,1985,1980s
485,Philip Michael Thomas,1985,1980s
486,Deng Xiaoping,1985,1980s
487,Ronald Reagan,1985,1980s
488,Toxic Waste,1985,1980s
489,Ronald Reagan,1985,1980s
490,Garrison Keillor,1985,1980s
491,Prince Charles,1985,1980s
492,Ronald Reagan,1985,1980s
493,Ronald Reagan,1985,1980s
494,Teenage Pregnancy,1985,1980s
495,Deng Xiaoping,1986,1980s
496,Donald Burr,1986,1980s
497,William Perry,1986,1980s
498,Corazon Aquino,1986,1980s
499,Pat Robertson,1986,1980s
500,Corazon Aquino,1986,1980s
501,Michael Deaver,1986,1980s
502,Corazon Aquino,1986,1980s
503,Daniel Ortega,1986,1980s
504,Dwight Gooden,1986,1980s
505,Muammar Gaddafi,1986,1980s
506,Vladimir Horowitz,1986,1980s
507,Molly Ringwald,1986,1980s
508,Mario Cuomo,1986,1980s
509,William Rehnquist,1986,1980s
510,Ronald Reagan,1986,1980s
511,Sigourney Weaver,1986,1980s
512,Andrew Wyeth,1986,1980s
513,Ralph Lauren,1986,1980s
514,Derek Bok,1986,1980s
515,Laurence Tisch,1986,1980s
516,John Gotti,1986,1980s
517,Stephen King,1986,1980s
518,Ronald Reagan,1986,1980s
519,David Byrne,1986,1980s
520,Ivan Boesky,1986,1980s
521,Neil Simon,1986,1980s
522,Oliver North,1986,1980s
523,Corazon Aquino,1987,1980s
524,Adnan Khashoggi,1987,1980s
525,Oliver Stone,1987,1980s
526,Dennis Conner,1987,1980s
527,Bette Midler,1987,1980s
528,Ronald Reagan,1987,1980s
529,Howard Baker,1987,1980s
530,Jimmy Swaggart,1987,1980s
531,U2,1987,1980s
532,Gary Hart,1987,1980s
533,Alan Greenspan,1987,1980s
534,Chun Doo Hwan,1987,1980s
535,Oliver North,1987,1980s
536,Oliver North,1987,1980s
537,Mikhail Gorbachev,1987,1980s
538,Khomeini,1987,1980s
539,Steve Martin,1987,1980s
540,Robert Bork,1987,1980s
541,Bill Cosby,1987,1980s
542,Glenn Close,1987,1980s
543,Shirley Maclaine,1987,1980s
544,Mikhail Gorbachev,1987,1980s
545,Gary Hart,1987,1980s
546,Mikhail Gorbachev,1988,1980s
547,Andrew Lloyd Webber,1988,1980s
548,Dan Rather,1988,1980s
549,Debi Thomas,1988,1980s
550,Manuel Noriega,1988,1980s
551,George H.W. Bush,1988,1980s
552,Jesse Jackson,1988,1980s
553,Michael Eisner,1988,1980s
554,Michael Dukakis,1988,1980s
555,Nancy Reagan,1988,1980s
